timestamp,device_id,src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets,label
2025-01-01T12:00:01,thermostat-1,10.0.0.153,192.168.3.10,514,8883,MQTT,2307,5,normal
2025-01-01T12:00:02,thermostat-1,10.0.1.185,192.168.3.58,12345,1024,UDP,2519,4,normal
2025-01-01T12:00:06,sensor-5,10.0.2.73,192.168.1.57,514,8080,MQTT,2316,2,normal
2025-01-01T12:00:09,thermostat-1,10.0.2.208,192.168.0.188,1883,5683,TCP,2257,3,normal
2025-01-01T12:00:13,sensor-5,10.0.2.149,192.168.1.182,514,8883,TCP,2684,3,normal
2025-01-01T12:00:14,thermostat-1,10.0.0.99,192.168.2.118,80,1883,UDP,2234,2,normal
2025-01-01T12:00:17,camera-2,10.0.0.157,192.168.1.138,514,53,MQTT,1934,2,normal
2025-01-01T12:00:19,camera-2,10.0.1.177,192.168.2.217,514,53,CoAP,2770,4,normal
2025-01-01T12:00:20,camera-2,10.0.2.56,192.168.3.103,12345,53,TCP,2437,5,normal
2025-01-01T12:00:24,camera-2,10.0.2.193,192.168.3.231,514,8883,MQTT,1918,4,normal
2025-01-01T12:00:29,plug-4,10.0.0.41,192.168.1.204,80,1024,MQTT,2565,3,normal
2025-01-01T12:00:33,sensor-5,10.0.2.250,192.168.0.176,12345,8080,TCP,3660,6,normal
2025-01-01T12:00:34,sensor-5,10.0.0.246,192.168.2.250,443,8080,MQTT,2342,4,normal
2025-01-01T12:00:39,camera-2,10.0.1.41,192.168.2.197,1883,53,TCP,1937,2,normal
2025-01-01T12:00:41,sensor-5,10.0.1.16,192.168.1.226,1883,5683,TCP,1923,4,normal
2025-01-01T12:00:46,thermostat-1,10.0.1.34,192.168.3.244,80,8883,TCP,2030,2,normal
2025-01-01T12:00:51,camera-2,10.0.1.184,192.168.2.104,12345,53,MQTT,1761,1,normal
2025-01-01T12:00:54,plug-4,10.0.2.7,192.168.1.152,443,1024,CoAP,2205,4,normal
2025-01-01T12:00:56,thermostat-1,10.0.0.133,192.168.1.73,80,5683,TCP,2263,5,normal
